TimeStamp,X-Axis,Y-Axis,Z-Axis,Velocity
2021-04-21 10:41:24.349,-0.076,-1.992,9.519,1.53
2021-04-21 10:41:24.597,-0.057,-2.011,9.5,1.25
2021-04-21 10:41:24.749,-0.038,-2.011,9.519,0.95
2021-04-21 10:41:26.949,-0.057,-1.992,9.5,2.85
2021-04-21 10:41:28.549,-0.038,-1.972,9.519,4.82
2021-04-21 10:41:29.349,-0.057,-2.011,9.519,3.85
2021-04-21 10:41:29.749,-0.057,-2.011,9.481,0.95
2021-04-21 10:41:30.349,-0.057,-1.992,9.5,0.95
2021-04-21 10:41:30.749,-0.076,-2.011,9.5,1.90
2021-04-21 10:41:30.949,-0.076,-2.03,9.5,2.85
2021-04-21 10:41:31.749,-0.057,-1.992,9.519,2.85
2021-04-21 10:41:32.149,-0.057,-2.011,9.481,4.58
2021-04-21 10:41:32.549,-0.038,-1.992,9.481,0.95
2021-04-21 10:41:34.549,-0.076,-2.011,9.481,3.80
2021-04-21 10:41:34.949,-0.057,-1.992,9.519,2.84
2021-04-21 10:41:35.549,-0.076,-2.011,9.5,2.86
2021-04-21 10:41:35.749,-0.076,-2.011,9.5,0.95
2021-04-21 10:41:36.349,-0.076,-1.972,9.519,1.96
2021-04-21 10:41:37.349,-0.095,-1.992,9.5,0.95
2021-04-21 10:41:37.749,-0.057,-2.011,9.481,0.00
2021-04-21 10:41:37.949,-0.038,-2.011,9.519,1.90
2021-04-21 10:41:39.349,-0.038,-1.992,9.5,1.90
2021-04-21 10:41:40.549,-0.076,-2.011,9.5,2.34
2021-04-21 10:41:40.791,-0.038,-1.992,9.519,2.84
2021-04-21 10:41:42.549,-0.057,-2.011,9.481,0.95
2021-04-21 10:41:43.149,-0.076,-1.992,9.5,0.00
2021-04-21 10:41:44.749,-0.057,-2.011,9.5,0.00
2021-04-21 10:41:44.949,-0.076,-2.011,9.5,2.86
2021-04-21 10:41:45.349,-0.076,-2.011,9.5,2.84
2021-04-21 10:41:46.149,-0.038,-2.011,9.5,0.00
2021-04-21 10:41:47.549,-0.019,-1.972,9.5,2.91
2021-04-21 10:41:47.749,-0.095,-2.011,9.5,5.72
2021-04-21 10:41:47.949,-0.076,-1.992,9.519,2.86
2021-04-21 10:41:48.149,-0.038,-2.011,9.5,0.00
2021-04-21 10:41:48.380,-0.057,-1.992,9.519,1.12
2021-04-21 10:41:48.549,-0.076,-2.03,9.519,3.83
2021-04-21 10:41:48.949,-0.057,-2.011,9.519,1.90
2021-04-21 10:41:49.149,-0.057,-2.011,9.5,0.95
2021-04-21 10:41:52.349,-0.076,-2.011,9.5,2.85
2021-04-21 10:41:52.749,-0.057,-1.992,9.5,1.90
2021-04-21 10:41:52.949,-0.076,-1.992,9.5,0.00
2021-04-21 10:41:53.549,-0.057,-1.992,9.5,1.91
2021-04-21 10:41:53.949,-0.038,-2.011,9.5,0.00
2021-04-21 10:41:55.349,-0.057,-1.992,9.519,1.90
2021-04-21 10:41:55.749,-0.057,-1.992,9.5,0.00
2021-04-21 10:42:35.238,-0.076,-2.011,9.5,2.89
2021-04-21 10:42:36.493,-0.057,-1.992,9.519,2.85
2021-04-21 10:42:36.692,-0.038,-1.972,9.519,3.85
2021-04-21 10:42:39.492,-0.076,-1.992,9.5,1.94
2021-04-21 10:42:39.893,-0.057,-1.992,9.5,2.85
2021-04-21 10:42:40.291,-0.114,-2.03,9.462,5.70
2021-04-21 10:42:40.692,-0.076,-1.992,9.5,5.70
2021-04-21 10:42:40.893,-0.057,-1.972,9.5,1.95
2021-04-21 10:42:41.092,-0.076,-1.992,9.5,1.95
2021-04-21 10:42:41.292,-0.095,-1.992,9.5,0.00
2021-04-21 10:42:42.092,-0.057,-1.953,9.5,3.25
2021-04-21 10:42:42.329,-0.076,-2.011,9.481,5.89
2021-04-21 10:42:42.492,-0.114,-2.03,9.481,2.85
2021-04-21 10:42:42.692,-0.095,-2.011,9.5,2.85
